class_id,fund_id,period,return_pct,benchmark_return_pct,as_of_date,source_doc_id,source_page,source_text
CLASS000003,FUND000001,1Y,4.7,4.14,2025-07-29,DOC000001,46,[p.46] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C; 최초설정일 2019-07-30; 1Y 수익률 4.70%
CLASS000003,FUND000001,2Y,5.27,4.71,2025-07-29,DOC000001,46,[p.46] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C; 최초설정일 2019-07-30; 2Y 수익률 5.27%
CLASS000003,FUND000001,3Y,4.98,4.27,2025-07-29,DOC000001,46,[p.46] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C; 최초설정일 2019-07-30; 3Y 수익률 4.98%
CLASS000003,FUND000001,5Y,3.1,2.51,2025-07-29,DOC000001,46,[p.46] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C; 최초설정일 2019-07-30; 5Y 수익률 3.10%
CLASS000003,FUND000001,SINCE_INCEPTION,2.96,2.46,2025-07-29,DOC000001,46,[p.46] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C; 최초설정일 2019-07-30; SINCE_INCEPTION 수익률 2.96%
CLASS000004,FUND000001,1Y,4.86,4.14,2025-07-29,DOC000001,46,[p.46] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )Ce; 최초설정일 2019-07-30; 1Y 수익률 4.86%
CLASS000004,FUND000001,2Y,5.43,4.71,2025-07-29,DOC000001,46,[p.46] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )Ce; 최초설정일 2019-07-30; 2Y 수익률 5.43%
CLASS000004,FUND000001,3Y,5.14,4.27,2025-07-29,DOC000001,46,[p.46] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )Ce; 최초설정일 2019-07-30; 3Y 수익률 5.14%
CLASS000004,FUND000001,5Y,3.26,2.51,2025-07-29,DOC000001,46,[p.46] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )Ce; 최초설정일 2019-07-30; 5Y 수익률 3.26%
CLASS000004,FUND000001,SINCE_INCEPTION,3.12,2.46,2025-07-29,DOC000001,46,[p.46] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )Ce; 최초설정일 2019-07-30; SINCE_INCEPTION 수익률 3.12%
CLASS000005,FUND000001,1Y,4.75,4.14,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- P1; 최초설정일 2019-08-22; 1Y 수익률 4.75%
CLASS000005,FUND000001,2Y,5.33,4.71,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- P1; 최초설정일 2019-08-22; 2Y 수익률 5.33%
CLASS000005,FUND000001,3Y,5.04,4.27,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- P1; 최초설정일 2019-08-22; 3Y 수익률 5.04%
CLASS000005,FUND000001,5Y,3.16,2.51,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- P1; 최초설정일 2019-08-22; 5Y 수익률 3.16%
CLASS000005,FUND000001,SINCE_INCEPTION,3.06,2.43,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- P1; 최초설정일 2019-08-22; SINCE_INCEPTION 수익률 3.06%
CLASS000006,FUND000001,1Y,4.88,4.14,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- Pe1; 최초설정일 2019-10-21; 1Y 수익률 4.88%
CLASS000006,FUND000001,2Y,5.46,4.71,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- Pe1; 최초설정일 2019-10-21; 2Y 수익률 5.46%
CLASS000006,FUND000001,3Y,5.17,4.27,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- Pe1; 최초설정일 2019-10-21; 3Y 수익률 5.17%
CLASS000006,FUND000001,5Y,3.28,2.51,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- Pe1; 최초설정일 2019-10-21; 5Y 수익률 3.28%
CLASS000006,FUND000001,SINCE_INCEPTION,3.26,2.52,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- Pe1; 최초설정일 2019-10-21; SINCE_INCEPTION 수익률 3.26%
CLASS000007,FUND000001,1Y,4.76,4.14,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- P2; 최초설정일 2020-08-27; 1Y 수익률 4.76%
CLASS000007,FUND000001,2Y,5.34,4.71,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- P2; 최초설정일 2020-08-27; 2Y 수익률 5.34%
CLASS000007,FUND000001,3Y,5.05,4.27,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- P2; 최초설정일 2020-08-27; 3Y 수익률 5.05%
